l1,l2,l3,l4,l5,l6,l7,acc
5,3,3,6,8,4,5,10.440000000000005
6,3,8,3,4,4,4,10.08
6,6,4,4,6,3,3,9.899999999999999
4,5,4,8,4,6,3,10.140000000000004
5,6,5,6,6,8,3,9.919999999999995
3,6,4,6,5,3,3,10.060000000000002
3,5,4,6,5,6,5,51.2
3,4,8,4,6,3,6,9.119999999999994
3,6,3,8,6,6,8,9.260000000000002
6,3,5,8,4,8,8,11.339999999999995
5,8,3,4,5,6,6,10.360000000000003
4,4,4,6,5,6,6,64.16
5,5,6,8,3,8,8,15.82
5,6,4,3,3,4,4,9.419999999999995
3,4,5,3,4,4,5,9.819999999999995
6,3,4,4,4,6,6,10.440000000000005
3,4,8,6,8,5,4,14.92
6,4,4,4,4,4,4,10.460000000000003
3,3,3,6,3,3,8,9.419999999999995
8,6,8,6,6,5,3,10.040000000000004
6,4,3,6,3,6,5,9.719999999999995
8,6,8,6,8,3,4,10.160000000000002
5,5,6,3,8,4,8,9.819999999999995
8,3,6,4,3,5,4,10.48
4,8,4,6,6,3,4,9.919999999999995
3,5,8,8,3,4,8,9.740000000000004
8,8,8,6,3,5,5,10.460000000000003
5,6,6,3,3,4,8,10.18
5,8,3,8,6,3,5,10.460000000000003
8,3,6,6,4,8,4,10.440000000000005
3,4,6,8,6,6,6,60.56
4,4,5,4,8,8,8,54.339999999999996
6,5,4,4,6,3,4,10.199999999999998
